Company,Category,Queue Number,# Judges,# Matching,# Fill-In,Judge 1,Judge 2,Judge 3,Judge 4,Judge 5,Judge 6,Judge 7,Judge 8,Judge 9,Judge 10,Judge 11,Judge 12
The People's Data Project,B2C Digital/Apps,93,11,10,1,German Estrada,Tom Keuten,Aaron Wallace,Mike Scrudato,Rahul Miglani,Peter Flood,Nick Schappler,Jay Breeden,Alyssa Jank,Ryan Mitchell,Sarah Shoemaker - Fill-in
The Working Life,B2C Digital/Apps,98,11,10,1,Scott Berg,Johnny Whichard,Aaron Wallace,Gary Sobolewski,Pat Sigmon,Thomas Jensen,Mark Dixon,Jim Hunt,Brett Belock,Adam Sellke,Tom Winter - Fill-in
Unify,B2C Digital/Apps,105,10,10,0,Manish Shah,Tom Keuten,Aaron Wallace,Kristin Marcuccilli,Will Alverson,Justin Hintz,Joe Shonkwiler,Paul Miller,Jim Hunt,Tyler Hudson-Crimi
Wend,B2C Digital/Apps,114,10,10,0,Scott Berg,Jane Hennessy,Eric Meyers,Mike Scrudato,David Brenner,Tony Nguyen,Syzmon Ryzner,Evan Doney,Mike Ferrigno,Steve Asiala
You Give,B2C Digital/Apps,121,10,10,0,Daniela Tomas,Tim O'Neill,Tim Kish,Gary Sobolewski,BIll Rossiter,Tom Wilkas,Syzmon Ryzner,Paul Miller,Jay Breeden,Julie Rotolo
ZuzuForKids.com,B2C Digital/Apps,132,10,10,0,German Estrada,Tim Kish,Aaron Wallace,Gary Sobolewski,Joe Shonkwiler,Nitesh Gudapati,Syzmon Ryzner,Gordon Geraci,Patrick Farran,Julie Rotolo
Babble Therapy Life Coach,B2C Physical Products,67,11,11,0,Jason McCaherty,Rudy Reyes Jr.,Tiffany Tibbot,Aaron Cleavinger,Austin Fazio,Justin Hintz,John Gleason,Kerry McNeilly,Emily Stoler,Julie Moylan,Scott Noble
CTM (Competitive Training Metrics),B2C Physical Products,70,11,11,0,Joseph Anderson,Rudy Reyes Jr.,Jason McCaherty,Brian Cho,Ryan Olander,Emily Stoler,Kerry McNeilly,William Harlan,Daniel Morden,Julie Moylan,Scott Noble
Five Star Life Arts,B2C Physical Products,72,11,11,0,Steve Roe,Amy Buchan Siegfried,Jason McCaherty,Mike Scrudato,Ryan Olander,Tony Nguyen,Shelley Simon,William Harlan,John Schroeder,Julie Moylan,Sean Murdock
General Debauchery ,B2C Physical Products,74,11,11,0,Rafeal Reyes,Joseph Anderson,Tiffany Tibbot,Aaron Cleavinger,Ellen Dutton,Shelley Simon,John Gleason,Mieczyslaw Jodziewicz,Alyssa Jank,Julie Moylan,Sean Murdock
heARsight,B2C Physical Products,80,11,11,0,Jeffrey Hebig,Jason McCaherty,Rudy Reyes Jr.,Mike Scrudato,Ellen Dutton,BIll Rossiter,Khoa Huynh,Emily Stoler,Mike Ferrigno,Julie Moylan,Soraya Hernandez
LOOMING,B2C Physical Products,84,11,10,1,Joseph Anderson,Jason McCaherty,Tiffany Tibbot,Dhiraj Mehra,Ryan Olander,Eric Kullberg,Shelley Simon,Emily Stoler,Patrick Farran,Julie Moylan,James Kelly - Fill-in
PaceDrone,B2C Physical Products,91,11,10,1,Rudy Reyes Jr.,Steve Roe,Joseph Anderson,Ellen Dutton,Larry Arseniadis,Kerry McNeilly,Tony Nguyen,Mieczyslaw Jodziewicz,Julie Moylan,Malaina Weldy,Sarah Shoemaker - Fill-in
Power Tie Giveaway In A Box,B2C Physical Products,96,11,10,1,Amy Buchan Siegfried,Rafeal Reyes,Jason McCaherty,Mike Scrudato,Ellen Dutton,Nitesh Gudapati,Colin Keeler,Kerry McNeilly,Bob Jank,Adam Sellke,Sarah Shoemaker - Fill-in
ShoreUp,B2C Physical Products,102,11,10,1,Amy Buchan Siegfried,Steve Roe,Joseph Anderson,Christopher Blum,Aaron Cleavinger,William O'Brien,Janet Wolff,Khoa Huynh,John Schroeder,Adam Sellke,Tom Winter - Fill-in
Tangler Wrangler,B2C Physical Products,107,10,10,0,Jason McCaherty,Jeffrey Hebig,Amy Buchan Siegfried,Ryan Olander,Austin Fazio,Janet Wolff,Justin Hintz,Khoa Huynh,Brett Belock,Eric Wiechart
The Vitalist,B2C Physical Products,115,10,10,0,Rudy Reyes Jr.,Steve Roe,Tiffany Tibbot,Austin Fazio,Larry Arseniadis,David Brenner,Janet Wolff,Khoa Huynh,Bob Jank,Eric Wiechart
VibeGrips,B2C Physical Products,122,10,10,0,Amy Buchan Siegfried,Joseph Anderson,Tiffany Tibbot,Ellen Dutton,Brian Cho,John Gleason,Tom Wilkas,Janet Wolff,Patrick Farran,Eric Wiechart
